Timestamp: 2000 - removed micro-clusters: 0 - model's size [0]:4
Timestamp: 2000 - removed micro-clusters: 0 - model's size [1]:3
Timestamp: 2000 - removed micro-clusters: 0 - model's size [2]:4
Timestamp: 2000 - removed micro-clusters: 0 - model's size [3]:4
Timestamp: 2000 - removed micro-clusters: 0 - model's size [4]:3
Removed examples from short-time-memory: 18	 True labels: [2]
Removed examples from short-time-memory: 49119	 True labels: [4]
Removed examples from short-time-memory: 49168	 True labels: [2]
Removed examples from short-time-memory: 49223	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 49320	 True labels: [1]
Removed examples from short-time-memory: 49389	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 49403	 True labels: [4]
Removed examples from short-time-memory: 49494	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 49520	 True labels: [3]
Removed examples from short-time-memory: 49527	 True labels: [4]
Removed examples from short-time-memory: 49545	 True labels: [4]
Removed examples from short-time-memory: 49612	 True labels: [2]
Removed examples from short-time-memory: 49651	 True labels: [3]
Removed examples from short-time-memory: 49675	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 49676	 True labels: [2]
Removed examples from short-time-memory: 49693	 True labels: [2]
Removed examples from short-time-memory: 49777	 True labels: [1]
Removed examples from short-time-memory: 49789	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 49829	 True labels: [4]
Removed examples from short-time-memory: 49974	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 49992	 True labels: [2]
Timestamp: 52000 - removed micro-clusters: 0 - model's size [NP13]:1
Timestamp: 52000 - removed micro-clusters: 0 - model's size [NP10]:1
Timestamp: 52000 - removed micro-clusters: 0 - model's size [NP11]:1
Timestamp: 52000 - removed micro-clusters: 0 - model's size [NP12]:1
Timestamp: 52000 - removed micro-clusters: 0 - model's size [NP1]:1
Timestamp: 52000 - removed micro-clusters: 0 - model's size [0]:3
Timestamp: 52000 - removed micro-clusters: 0 - model's size [NP3]:1
Timestamp: 52000 - removed micro-clusters: 0 - model's size [1]:2
Timestamp: 52000 - removed micro-clusters: 0 - model's size [NP2]:1
Timestamp: 52000 - removed micro-clusters: 0 - model's size [2]:4
Timestamp: 52000 - removed micro-clusters: 0 - model's size [NP5]:1
Timestamp: 52000 - removed micro-clusters: 0 - model's size [3]:4
Timestamp: 52000 - removed micro-clusters: 0 - model's size [NP4]:1
Timestamp: 52000 - removed micro-clusters: 0 - model's size [4]:3
Timestamp: 52000 - removed micro-clusters: 0 - model's size [NP7]:1
Timestamp: 52000 - removed micro-clusters: 0 - model's size [NP6]:1
Timestamp: 52000 - removed micro-clusters: 0 - model's size [NP9]:1
Timestamp: 52000 - removed micro-clusters: 0 - model's size [NP8]:1
Removed examples from short-time-memory: 50061	 True labels: [1]
Removed examples from short-time-memory: 50088	 True labels: [2, 5]
Removed examples from short-time-memory: 50153	 True labels: [4]
Removed examples from short-time-memory: 50209	 True labels: [4]
Removed examples from short-time-memory: 50219	 True labels: [4]
Removed examples from short-time-memory: 50249	 True labels: [4]
Removed examples from short-time-memory: 50315	 True labels: [2, 5]
Removed examples from short-time-memory: 50386	 True labels: [5]
Removed examples from short-time-memory: 50394	 True labels: [4]
Removed examples from short-time-memory: 50492	 True labels: [4]
Removed examples from short-time-memory: 50532	 True labels: [1]
Removed examples from short-time-memory: 50550	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 50574	 True labels: [4]
Removed examples from short-time-memory: 50581	 True labels: [2, 5]
Removed examples from short-time-memory: 50586	 True labels: [2]
Removed examples from short-time-memory: 50636	 True labels: [1]
Removed examples from short-time-memory: 50673	 True labels: [1]
Removed examples from short-time-memory: 50772	 True labels: [1]
Removed examples from short-time-memory: 50786	 True labels: [2]
Removed examples from short-time-memory: 50793	 True labels: [4]
Removed examples from short-time-memory: 50834	 True labels: [4]
Removed examples from short-time-memory: 50852	 True labels: [4]
Removed examples from short-time-memory: 50908	 True labels: [1]
Removed examples from short-time-memory: 50909	 True labels: [3]
Removed examples from short-time-memory: 50925	 True labels: [1]
Removed examples from short-time-memory: 50926	 True labels: [1]
Removed examples from short-time-memory: 50931	 True labels: [1]
Removed examples from short-time-memory: 50936	 True labels: [2]
Removed examples from short-time-memory: 50975	 True labels: [4]
Removed examples from short-time-memory: 50991	 True labels: [2, 5]
Removed examples from short-time-memory: 51001	 True labels: [4]
Removed examples from short-time-memory: 51049	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 51073	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 51092	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 51100	 True labels: [4]
Removed examples from short-time-memory: 51102	 True labels: [4]
Removed examples from short-time-memory: 51105	 True labels: [4]
Removed examples from short-time-memory: 51114	 True labels: [2]
Removed examples from short-time-memory: 51128	 True labels: [3]
Removed examples from short-time-memory: 51148	 True labels: [4]
Removed examples from short-time-memory: 51152	 True labels: [1]
Removed examples from short-time-memory: 51162	 True labels: [2, 5]
Removed examples from short-time-memory: 51165	 True labels: [2]
Removed examples from short-time-memory: 51191	 True labels: [4]
Removed examples from short-time-memory: 51195	 True labels: [1]
Removed examples from short-time-memory: 51251	 True labels: [1]
Removed examples from short-time-memory: 51281	 True labels: [4]
Removed examples from short-time-memory: 51316	 True labels: [2]
Removed examples from short-time-memory: 51430	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 51434	 True labels: [2]
Removed examples from short-time-memory: 51440	 True labels: [3]
Removed examples from short-time-memory: 51479	 True labels: [2, 5]
Removed examples from short-time-memory: 51522	 True labels: [2]
Removed examples from short-time-memory: 51532	 True labels: [2]
Removed examples from short-time-memory: 51536	 True labels: [2, 5]
Removed examples from short-time-memory: 51601	 True labels: [4]
Removed examples from short-time-memory: 51623	 True labels: [4]
Removed examples from short-time-memory: 51646	 True labels: [2]
Removed examples from short-time-memory: 51678	 True labels: [2]
Removed examples from short-time-memory: 51738	 True labels: [2]
Removed examples from short-time-memory: 51744	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 51754	 True labels: [1]
Removed examples from short-time-memory: 51790	 True labels: [2]
Removed examples from short-time-memory: 51821	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 51823	 True labels: [4]
Removed examples from short-time-memory: 51846	 True labels: [4]
Removed examples from short-time-memory: 51875	 True labels: [4]
Removed examples from short-time-memory: 51934	 True labels: [2, 5]
Removed examples from short-time-memory: 51967	 True labels: [4]
Removed examples from short-time-memory: 51978	 True labels: [0, 2, 5]
Timestamp: 54000 - removed micro-clusters: 0 - model's size [NP13]:1
Timestamp: 54000 - removed micro-clusters: 0 - model's size [NP10]:1
Timestamp: 54000 - removed micro-clusters: 0 - model's size [NP11]:1
Timestamp: 54000 - removed micro-clusters: 0 - model's size [NP12]:1
Timestamp: 54000 - removed micro-clusters: 0 - model's size [NP1]:1
Timestamp: 54000 - removed micro-clusters: 0 - model's size [0]:3
Timestamp: 54000 - removed micro-clusters: 0 - model's size [NP3]:1
Timestamp: 54000 - removed micro-clusters: 0 - model's size [1]:2
Timestamp: 54000 - removed micro-clusters: 0 - model's size [NP2]:1
Timestamp: 54000 - removed micro-clusters: 0 - model's size [2]:4
Timestamp: 54000 - removed micro-clusters: 0 - model's size [NP5]:1
Timestamp: 54000 - removed micro-clusters: 0 - model's size [3]:4
Timestamp: 54000 - removed micro-clusters: 0 - model's size [NP4]:1
Timestamp: 54000 - removed micro-clusters: 0 - model's size [4]:3
Timestamp: 54000 - removed micro-clusters: 0 - model's size [NP7]:1
Timestamp: 54000 - removed micro-clusters: 0 - model's size [NP6]:1
Timestamp: 54000 - removed micro-clusters: 0 - model's size [NP9]:1
Timestamp: 54000 - removed micro-clusters: 0 - model's size [NP8]:1
Removed examples from short-time-memory: 52016	 True labels: [2]
Removed examples from short-time-memory: 52028	 True labels: [2, 5]
Removed examples from short-time-memory: 52119	 True labels: [3]
Removed examples from short-time-memory: 52161	 True labels: [4]
Removed examples from short-time-memory: 52190	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 52240	 True labels: [4]
Removed examples from short-time-memory: 52268	 True labels: [2, 5]
Removed examples from short-time-memory: 52293	 True labels: [4]
Removed examples from short-time-memory: 52313	 True labels: [4]
Removed examples from short-time-memory: 52355	 True labels: [2]
Removed examples from short-time-memory: 52357	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 52365	 True labels: [4]
Removed examples from short-time-memory: 52408	 True labels: [4]
Removed examples from short-time-memory: 52414	 True labels: [4]
Removed examples from short-time-memory: 52429	 True labels: [2]
Removed examples from short-time-memory: 52452	 True labels: [4]
Removed examples from short-time-memory: 52464	 True labels: [4]
Removed examples from short-time-memory: 52474	 True labels: [4]
Removed examples from short-time-memory: 52481	 True labels: [4]
Removed examples from short-time-memory: 52484	 True labels: [2, 5]
Removed examples from short-time-memory: 52485	 True labels: [2]
Removed examples from short-time-memory: 52506	 True labels: [3]
Removed examples from short-time-memory: 52515	 True labels: [4]
Removed examples from short-time-memory: 52605	 True labels: [4]
Removed examples from short-time-memory: 52606	 True labels: [4]
Removed examples from short-time-memory: 52617	 True labels: [2]
Removed examples from short-time-memory: 52640	 True labels: [2]
Removed examples from short-time-memory: 52656	 True labels: [1]
Removed examples from short-time-memory: 52728	 True labels: [2]
Removed examples from short-time-memory: 52785	 True labels: [4]
Removed examples from short-time-memory: 52820	 True labels: [1]
Removed examples from short-time-memory: 52831	 True labels: [4]
Removed examples from short-time-memory: 52851	 True labels: [4]
Removed examples from short-time-memory: 52870	 True labels: [3]
Removed examples from short-time-memory: 52901	 True labels: [2, 5]
Removed examples from short-time-memory: 52904	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 52917	 True labels: [4]
Removed examples from short-time-memory: 52989	 True labels: [4]
Removed examples from short-time-memory: 53012	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 53015	 True labels: [2]
Removed examples from short-time-memory: 53024	 True labels: [4]
Removed examples from short-time-memory: 53034	 True labels: [4]
Removed examples from short-time-memory: 53085	 True labels: [1]
Removed examples from short-time-memory: 53095	 True labels: [1]
Removed examples from short-time-memory: 53135	 True labels: [4]
Removed examples from short-time-memory: 53160	 True labels: [2]
Removed examples from short-time-memory: 53175	 True labels: [4]
Removed examples from short-time-memory: 53187	 True labels: [2]
Removed examples from short-time-memory: 53190	 True labels: [2]
Removed examples from short-time-memory: 53210	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 53240	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 53268	 True labels: [4]
Removed examples from short-time-memory: 53289	 True labels: [4]
Removed examples from short-time-memory: 53338	 True labels: [4]
Removed examples from short-time-memory: 53366	 True labels: [4]
Removed examples from short-time-memory: 53376	 True labels: [3]
Removed examples from short-time-memory: 53387	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 53451	 True labels: [4]
Removed examples from short-time-memory: 53465	 True labels: [4]
Removed examples from short-time-memory: 53480	 True labels: [1]
Removed examples from short-time-memory: 53490	 True labels: [4]
Removed examples from short-time-memory: 53509	 True labels: [4]
Removed examples from short-time-memory: 53536	 True labels: [1]
Removed examples from short-time-memory: 53547	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 53548	 True labels: [2]
Removed examples from short-time-memory: 53549	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 53576	 True labels: [4]
Removed examples from short-time-memory: 53584	 True labels: [3]
Removed examples from short-time-memory: 53588	 True labels: [4]
Removed examples from short-time-memory: 53592	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 53634	 True labels: [2]
Removed examples from short-time-memory: 53663	 True labels: [2]
Removed examples from short-time-memory: 53696	 True labels: [4]
Removed examples from short-time-memory: 53704	 True labels: [2, 5]
Removed examples from short-time-memory: 53743	 True labels: [1]
Removed examples from short-time-memory: 53758	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 53802	 True labels: [4]
Removed examples from short-time-memory: 53840	 True labels: [4]
Removed examples from short-time-memory: 53843	 True labels: [2, 5]
Removed examples from short-time-memory: 53897	 True labels: [4]
Removed examples from short-time-memory: 53929	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 53942	 True labels: [1]
Removed examples from short-time-memory: 53961	 True labels: [1]
Removed examples from short-time-memory: 53962	 True labels: [1]
Timestamp: 56000 - removed micro-clusters: 0 - model's size [NP13]:1
Timestamp: 56000 - removed micro-clusters: 0 - model's size [NP10]:1
Timestamp: 56000 - removed micro-clusters: 0 - model's size [NP11]:1
Timestamp: 56000 - removed micro-clusters: 0 - model's size [NP12]:1
Timestamp: 56000 - removed micro-clusters: 0 - model's size [NP1]:1
Timestamp: 56000 - removed micro-clusters: 0 - model's size [0]:3
Timestamp: 56000 - removed micro-clusters: 0 - model's size [NP3]:1
Timestamp: 56000 - removed micro-clusters: 0 - model's size [1]:2
Timestamp: 56000 - removed micro-clusters: 0 - model's size [NP2]:1
Timestamp: 56000 - removed micro-clusters: 0 - model's size [2]:4
Timestamp: 56000 - removed micro-clusters: 0 - model's size [NP5]:1
Timestamp: 56000 - removed micro-clusters: 0 - model's size [3]:4
Timestamp: 56000 - removed micro-clusters: 0 - model's size [NP4]:1
Timestamp: 56000 - removed micro-clusters: 0 - model's size [4]:3
Timestamp: 56000 - removed micro-clusters: 0 - model's size [NP7]:1
Timestamp: 56000 - removed micro-clusters: 0 - model's size [NP6]:1
Timestamp: 56000 - removed micro-clusters: 0 - model's size [NP9]:1
Timestamp: 56000 - removed micro-clusters: 0 - model's size [NP8]:1
Removed examples from short-time-memory: 54020	 True labels: [4]
Removed examples from short-time-memory: 54070	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 54077	 True labels: [4]
Removed examples from short-time-memory: 54150	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 54216	 True labels: [2, 5]
Removed examples from short-time-memory: 54273	 True labels: [3]
Removed examples from short-time-memory: 54277	 True labels: [2, 5]
Removed examples from short-time-memory: 54309	 True labels: [4]
Removed examples from short-time-memory: 54336	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 54337	 True labels: [4]
Removed examples from short-time-memory: 54350	 True labels: [1]
Removed examples from short-time-memory: 54362	 True labels: [2]
Removed examples from short-time-memory: 54505	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 54524	 True labels: [2]
Removed examples from short-time-memory: 54545	 True labels: [4]
Removed examples from short-time-memory: 54564	 True labels: [2, 5]
Removed examples from short-time-memory: 54609	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 54623	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 54681	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 54722	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 54750	 True labels: [4]
Removed examples from short-time-memory: 54792	 True labels: [4]
Removed examples from short-time-memory: 54805	 True labels: [4]
Removed examples from short-time-memory: 54874	 True labels: [4]
Removed examples from short-time-memory: 54919	 True labels: [2]
Removed examples from short-time-memory: 54946	 True labels: [1]
Removed examples from short-time-memory: 54948	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 54949	 True labels: [4]
Removed examples from short-time-memory: 55001	 True labels: [2, 5]
Removed examples from short-time-memory: 55041	 True labels: [1]
Removed examples from short-time-memory: 55042	 True labels: [2, 5]
Removed examples from short-time-memory: 55048	 True labels: [4]
Removed examples from short-time-memory: 55053	 True labels: [2]
Removed examples from short-time-memory: 55063	 True labels: [4]
Removed examples from short-time-memory: 55083	 True labels: [4]
Removed examples from short-time-memory: 55084	 True labels: [4]
Removed examples from short-time-memory: 55105	 True labels: [5]
Removed examples from short-time-memory: 55115	 True labels: [2]
Removed examples from short-time-memory: 55121	 True labels: [2]
Removed examples from short-time-memory: 55127	 True labels: [4]
Removed examples from short-time-memory: 55128	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 55138	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 55144	 True labels: [4]
Removed examples from short-time-memory: 55188	 True labels: [2]
Removed examples from short-time-memory: 55200	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 55208	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 55217	 True labels: [3]
Removed examples from short-time-memory: 55258	 True labels: [2]
Removed examples from short-time-memory: 55277	 True labels: [4]
Removed examples from short-time-memory: 55280	 True labels: [4]
Removed examples from short-time-memory: 55310	 True labels: [1]
Removed examples from short-time-memory: 55343	 True labels: [4]
Removed examples from short-time-memory: 55350	 True labels: [1]
Removed examples from short-time-memory: 55351	 True labels: [2, 5]
Removed examples from short-time-memory: 55352	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 55353	 True labels: [4]
Removed examples from short-time-memory: 55366	 True labels: [2, 5]
Removed examples from short-time-memory: 55373	 True labels: [3]
Removed examples from short-time-memory: 55389	 True labels: [2]
Removed examples from short-time-memory: 55391	 True labels: [4]
Removed examples from short-time-memory: 55435	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 55454	 True labels: [4]
Removed examples from short-time-memory: 55465	 True labels: [1]
Removed examples from short-time-memory: 55503	 True labels: [3]
Removed examples from short-time-memory: 55509	 True labels: [3]
Removed examples from short-time-memory: 55515	 True labels: [4]
Removed examples from short-time-memory: 55516	 True labels: [3]
Removed examples from short-time-memory: 55526	 True labels: [4]
Removed examples from short-time-memory: 55537	 True labels: [3]
Removed examples from short-time-memory: 55544	 True labels: [4]
Removed examples from short-time-memory: 55547	 True labels: [3]
Removed examples from short-time-memory: 55555	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 55578	 True labels: [2]
Removed examples from short-time-memory: 55582	 True labels: [4]
Removed examples from short-time-memory: 55595	 True labels: [4]
Removed examples from short-time-memory: 55599	 True labels: [4]
Removed examples from short-time-memory: 55636	 True labels: [3]
Removed examples from short-time-memory: 55677	 True labels: [3]
Removed examples from short-time-memory: 55712	 True labels: [3]
Removed examples from short-time-memory: 55723	 True labels: [2]
Removed examples from short-time-memory: 55778	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 55799	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 55803	 True labels: [2]
Removed examples from short-time-memory: 55808	 True labels: [4]
Removed examples from short-time-memory: 55886	 True labels: [4]
Removed examples from short-time-memory: 55903	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 55906	 True labels: [1]
Removed examples from short-time-memory: 55940	 True labels: [4]
Timestamp: 58000 - removed micro-clusters: 0 - model's size [NP13]:1
Timestamp: 58000 - removed micro-clusters: 0 - model's size [NP10]:1
Timestamp: 58000 - removed micro-clusters: 0 - model's size [NP11]:1
Timestamp: 58000 - removed micro-clusters: 0 - model's size [NP12]:1
Timestamp: 58000 - removed micro-clusters: 0 - model's size [NP1]:1
Timestamp: 58000 - removed micro-clusters: 0 - model's size [0]:3
Timestamp: 58000 - removed micro-clusters: 0 - model's size [NP3]:1
Removed micro-clusters: 1 label: 1 category: normal
Timestamp: 58000 - removed micro-clusters: 1 - model's size [1]:1
Timestamp: 58000 - removed micro-clusters: 1 - model's size [NP2]:1
Timestamp: 58000 - removed micro-clusters: 1 - model's size [2]:4
Timestamp: 58000 - removed micro-clusters: 1 - model's size [NP5]:1
Timestamp: 58000 - removed micro-clusters: 1 - model's size [3]:4
Timestamp: 58000 - removed micro-clusters: 1 - model's size [NP4]:1
Timestamp: 58000 - removed micro-clusters: 1 - model's size [4]:3
Timestamp: 58000 - removed micro-clusters: 1 - model's size [NP7]:1
Timestamp: 58000 - removed micro-clusters: 1 - model's size [NP6]:1
Timestamp: 58000 - removed micro-clusters: 1 - model's size [NP9]:1
Timestamp: 58000 - removed micro-clusters: 1 - model's size [NP8]:1
Removed examples from short-time-memory: 56005	 True labels: [2]
Removed examples from short-time-memory: 56018	 True labels: [2, 5]
Removed examples from short-time-memory: 56051	 True labels: [2, 5]
Removed examples from short-time-memory: 56053	 True labels: [2, 5]
Removed examples from short-time-memory: 56110	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 56117	 True labels: [4]
Removed examples from short-time-memory: 56133	 True labels: [2]
Removed examples from short-time-memory: 56160	 True labels: [1]
Removed examples from short-time-memory: 56170	 True labels: [2, 5]
Removed examples from short-time-memory: 56178	 True labels: [4]
Removed examples from short-time-memory: 56181	 True labels: [2]
Removed examples from short-time-memory: 56188	 True labels: [4]
Removed examples from short-time-memory: 56197	 True labels: [4]
Removed examples from short-time-memory: 56310	 True labels: [1]
Removed examples from short-time-memory: 56320	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 56323	 True labels: [4]
Removed examples from short-time-memory: 56341	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 56354	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 56358	 True labels: [4]
Removed examples from short-time-memory: 56361	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 56376	 True labels: [3]
Removed examples from short-time-memory: 56381	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 56386	 True labels: [2]
Removed examples from short-time-memory: 56429	 True labels: [2]
Removed examples from short-time-memory: 56437	 True labels: [4]
Removed examples from short-time-memory: 56441	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 56504	 True labels: [4]
Removed examples from short-time-memory: 56507	 True labels: [0, 2]
Removed examples from short-time-memory: 56518	 True labels: [1]
Removed examples from short-time-memory: 56521	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 56542	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 56544	 True labels: [4]
Removed examples from short-time-memory: 56549	 True labels: [3]
Removed examples from short-time-memory: 56568	 True labels: [4]
Removed examples from short-time-memory: 56589	 True labels: [2]
Removed examples from short-time-memory: 56596	 True labels: [2]
Removed examples from short-time-memory: 56610	 True labels: [4]
Removed examples from short-time-memory: 56612	 True labels: [4]
Removed examples from short-time-memory: 56624	 True labels: [4]
Removed examples from short-time-memory: 56626	 True labels: [2, 5]
Removed examples from short-time-memory: 56650	 True labels: [2, 5]
Removed examples from short-time-memory: 56749	 True labels: [2]
Removed examples from short-time-memory: 56762	 True labels: [4]
Removed examples from short-time-memory: 56813	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 56827	 True labels: [4]
Removed examples from short-time-memory: 56835	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 56857	 True labels: [4]
Removed examples from short-time-memory: 56886	 True labels: [2, 5]
Removed examples from short-time-memory: 56955	 True labels: [4]
Removed examples from short-time-memory: 56962	 True labels: [4]
Removed examples from short-time-memory: 57018	 True labels: [1]
Removed examples from short-time-memory: 57028	 True labels: [1]
Removed examples from short-time-memory: 57060	 True labels: [2]
Removed examples from short-time-memory: 57070	 True labels: [4]
Removed examples from short-time-memory: 57082	 True labels: [4]
Removed examples from short-time-memory: 57083	 True labels: [3]
Removed examples from short-time-memory: 57106	 True labels: [2]
Removed examples from short-time-memory: 57110	 True labels: [4]
Removed examples from short-time-memory: 57156	 True labels: [3]
Removed examples from short-time-memory: 57195	 True labels: [2]
Removed examples from short-time-memory: 57214	 True labels: [4]
Removed examples from short-time-memory: 57218	 True labels: [4]
Removed examples from short-time-memory: 57235	 True labels: [2, 5]
Removed examples from short-time-memory: 57274	 True labels: [3]
Removed examples from short-time-memory: 57317	 True labels: [2, 5]
Removed examples from short-time-memory: 57320	 True labels: [1]
Removed examples from short-time-memory: 57353	 True labels: [1]
Removed examples from short-time-memory: 57366	 True labels: [2]
Removed examples from short-time-memory: 57376	 True labels: [2]
Removed examples from short-time-memory: 57382	 True labels: [2, 5]
Removed examples from short-time-memory: 57475	 True labels: [2, 5]
Removed examples from short-time-memory: 57477	 True labels: [3]
Removed examples from short-time-memory: 57494	 True labels: [4]
Removed examples from short-time-memory: 57526	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 57539	 True labels: [4]
Removed examples from short-time-memory: 57566	 True labels: [2, 5]
Removed examples from short-time-memory: 57568	 True labels: [1]
Removed examples from short-time-memory: 57588	 True labels: [4]
Removed examples from short-time-memory: 57638	 True labels: [3]
Removed examples from short-time-memory: 57666	 True labels: [3]
Removed examples from short-time-memory: 57684	 True labels: [1]
Removed examples from short-time-memory: 57717	 True labels: [4]
Removed examples from short-time-memory: 57719	 True labels: [4]
Removed examples from short-time-memory: 57720	 True labels: [3]
Removed examples from short-time-memory: 57726	 True labels: [1]
Removed examples from short-time-memory: 57761	 True labels: [2]
Removed examples from short-time-memory: 57766	 True labels: [1]
Removed examples from short-time-memory: 57786	 True labels: [4]
Removed examples from short-time-memory: 57869	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 57893	 True labels: [2, 5]
Removed examples from short-time-memory: 57909	 True labels: [2]
Timestamp: 60000 - removed micro-clusters: 0 - model's size [NP13]:1
Timestamp: 60000 - removed micro-clusters: 0 - model's size [NP10]:1
Timestamp: 60000 - removed micro-clusters: 0 - model's size [NP11]:1
Timestamp: 60000 - removed micro-clusters: 0 - model's size [NP12]:1
Timestamp: 60000 - removed micro-clusters: 0 - model's size [NP1]:1
Timestamp: 60000 - removed micro-clusters: 0 - model's size [0]:3
Timestamp: 60000 - removed micro-clusters: 0 - model's size [NP3]:1
Timestamp: 60000 - removed micro-clusters: 0 - model's size [1]:1
Timestamp: 60000 - removed micro-clusters: 0 - model's size [NP2]:1
Timestamp: 60000 - removed micro-clusters: 0 - model's size [2]:4
Timestamp: 60000 - removed micro-clusters: 0 - model's size [NP5]:1
Timestamp: 60000 - removed micro-clusters: 0 - model's size [3]:4
Timestamp: 60000 - removed micro-clusters: 0 - model's size [NP4]:1
Timestamp: 60000 - removed micro-clusters: 0 - model's size [4]:3
Timestamp: 60000 - removed micro-clusters: 0 - model's size [NP7]:1
Timestamp: 60000 - removed micro-clusters: 0 - model's size [NP6]:1
Timestamp: 60000 - removed micro-clusters: 0 - model's size [NP9]:1
Timestamp: 60000 - removed micro-clusters: 0 - model's size [NP8]:1
Removed examples from short-time-memory: 58032	 True labels: [2, 5]
Removed examples from short-time-memory: 58039	 True labels: [4]
Removed examples from short-time-memory: 58057	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 58060	 True labels: [4]
Removed examples from short-time-memory: 58111	 True labels: [2]
Removed examples from short-time-memory: 58112	 True labels: [1]
Removed examples from short-time-memory: 58131	 True labels: [2, 5]
Removed examples from short-time-memory: 58136	 True labels: [3]
Removed examples from short-time-memory: 58152	 True labels: [1]
Removed examples from short-time-memory: 58157	 True labels: [4]
Removed examples from short-time-memory: 58161	 True labels: [4]
Removed examples from short-time-memory: 58200	 True labels: [4]
Removed examples from short-time-memory: 58216	 True labels: [1]
Removed examples from short-time-memory: 58257	 True labels: [1]
Removed examples from short-time-memory: 58260	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 58277	 True labels: [2]
Removed examples from short-time-memory: 58281	 True labels: [4]
Removed examples from short-time-memory: 58283	 True labels: [4]
Removed examples from short-time-memory: 58300	 True labels: [4]
Removed examples from short-time-memory: 58301	 True labels: [4]
Removed examples from short-time-memory: 58319	 True labels: [0, 2]
Removed examples from short-time-memory: 58388	 True labels: [3]
Removed examples from short-time-memory: 58430	 True labels: [3]
Removed examples from short-time-memory: 58437	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 58445	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 58457	 True labels: [4]
Removed examples from short-time-memory: 58458	 True labels: [1]
Removed examples from short-time-memory: 58494	 True labels: [4]
Removed examples from short-time-memory: 58497	 True labels: [4]
Removed examples from short-time-memory: 58526	 True labels: [4]
Removed examples from short-time-memory: 58534	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 58574	 True labels: [0, 2, 5]
Removed examples from short-time-memory: 58591	 True labels: [4]
Removed examples from short-time-memory: 58592	 True labels: [3]
Removed examples from short-time-memory: 58603	 True labels: [2]
Removed examples from short-time-memory: 58618	 True labels: [3]
Removed examples from short-time-memory: 58633	 True labels: [4]
Removed examples from short-time-memory: 58669	 True labels: [3]
